,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,42,8,,,,,,,,,,,,,
1,79,30,9.0,,,,,,,,,,,,
2,137,50,28.0,8.0,,,,,,,,,,,
3,183,69,39.0,18.0,7.0,,,,,,,,,,
4,221,105,54.0,34.0,17.0,6.0,,,,,,,,,
5,293,127,74.0,49.0,29.0,16.0,6.0,,,,,,,,
6,365,168,88.0,63.0,41.0,25.0,17.0,7.0,,,,,,,
7,394,165,119.0,73.0,47.0,36.0,24.0,14.0,6.0,,,,,,
8,433,214,129.0,85.0,63.0,45.0,31.0,20.0,13.0,6.0,,,,,
9,471,250,150.0,103.0,81.0,53.0,41.0,28.0,22.0,14.0,5.0,,,,
10,538,291,182.0,119.0,79.0,63.0,49.0,39.0,30.0,19.0,13.0,5.0,,,
11,627,324,169.0,140.0,106.0,71.0,59.0,45.0,37.0,24.0,20.0,14.0,5.0,,
12,720,338,220.0,152.0,116.0,84.0,67.0,54.0,44.0,33.0,23.0,17.0,15.0,5.0,
13,784,338,247.0,165.0,127.0,103.0,77.0,59.0,51.0,41.0,32.0,23.0,18.0,12.0,5.0
